BehaviorSpace results (NetLogo 6.1.1),,,,,,,,,,,,,
Simulation.nlogo,,,,,,,,,,,,,
Basic_100_people_End,,,,,,,,,,,,,
04/29/2020 12:18:45:896 -0300,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,
[run number],beta-gov,sigma,pop-size,layout-type,graphics?,test?,debug?,nw-type,[step],count people with [social-distancing?],count people with [not social-distancing?],mean [opinion] of people,standard-deviation [opinion] of people
56,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,902,5,95,0.044340069,0.096549341
57,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,900,6,94,0.064138916,0.164367724
58,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,866,6,94,0.053853215,0.134290606
59,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,883,6,94,0.034375376,0.005019753
60,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,880,1,99,0.034644598,0.00359754
61,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,883,3,97,0.034141191,0.006078762
64,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,913,2,98,0.034764724,0.003721023
63,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,1011,5,95,0.044153282,0.096290978
62,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,1245,1,99,0.032851078,0.005264021
65,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,918,4,96,0.053830082,0.134860955
66,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,954,6,94,0.034480276,0.004762609
67,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,901,5,95,0.054498086,0.134691955
68,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,931,7,93,0.044237609,0.09611452
69,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,903,5,95,0.054153585,0.134096172
70,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,893,2,98,0.044826883,0.095856799
71,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,863,6,94,0.044142548,0.096602407
72,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,896,1,99,0.04371161,0.096281421
73,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,883,5,95,0.063860804,0.164503222
74,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,921,9,91,0.06402041,0.164449477
75,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,977,8,92,0.073202606,0.187508076
77,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,902,9,91,0.073839802,0.188273087
76,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,1095,1,99,0.033896808,0.003255577
78,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,908,8,92,0.044409744,0.095631835
79,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,903,3,97,0.044872755,0.096318351
80,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,906,7,93,0.054737743,0.135149617
81,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,886,3,97,0.044597017,0.095867538
82,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,877,3,97,0.044032572,0.095950864
84,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,898,6,94,0.063723649,0.164820709
83,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,966,3,97,0.053953256,0.133957686
