BehaviorSpace results (NetLogo 6.1.1),,,,,,,,,,,,,,,,
Simulation.nlogo,,,,,,,,,,,,,,,,
Interventions_100_people_End,,,,,,,,,,,,,,,,
04/29/2020 17:09:00:810 -0300,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,,,
[run number],beta-gov,sigma,pop-size,layout-type,graphics?,test?,debug?,intervention?,nw-type,intervention-type,perc-interventions,[step],count people with [social-distancing?],count people with [not social-distancing?],mean [opinion] of people,standard-deviation [opinion] of people
46,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,828,12,88,0.143365301,0.302650256
47,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,858,14,86,0.133427248,0.290329494
48,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,801,18,82,0.152445612,0.314538338
50,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,826,15,85,0.143094746,0.30248759
51,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,824,13,87,0.142594133,0.302553303
52,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,828,13,87,0.142560874,0.302414618
54,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,821,15,85,0.142890409,0.30259193
53,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,839,13,87,0.133471326,0.29031252
49,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,1018,17,83,0.152045882,0.314548463
55,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,837,15,85,0.133355799,0.290359723
56,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,839,14,86,0.133483865,0.290302883
57,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,814,15,85,0.152397945,0.313907124
58,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,818,17,83,0.152794064,0.314262975
59,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,848,11,89,0.133305337,0.29038417
61,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,849,15,85,0.133617429,0.29025424
63,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,827,16,84,0.162446711,0.324656277
62,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,827,13,87,0.143251151,0.302608502
60,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,1061,13,87,0.141945653,0.30294427
64,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,854,16,84,0.143508866,0.302612827
66,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,855,13,87,0.133466696,0.290324547
65,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,866,14,86,0.14294835,0.302777631
67,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,854,14,86,0.162919042,0.324710893
68,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,806,14,86,0.142882729,0.302839083
70,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,838,14,86,0.133445692,0.290318652
69,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,870,14,86,0.152959046,0.314129219
72,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,830,14,86,0.143247464,0.302724907
71,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,830,16,84,0.142957979,0.302747688
74,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,841,14,86,0.133426381,0.290329684
76,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,826,17,83,0.142644432,0.302678378
73,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,933,14,86,0.142996499,0.302661474
75,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,896,15,85,0.142965242,0.302773229
77,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,839,13,87,0.143106548,0.302478809
78,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,810,12,88,0.14312237,0.302680322
80,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,899,16,84,0.132374302,0.290723212
79,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,1142,16,84,0.140879021,0.303270585
81,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,822,14,86,0.142689609,0.302895553
83,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,843,13,87,0.133600332,0.290261111
82,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,834,13,87,0.143324468,0.30253592
84,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,838,16,84,0.143397995,0.302463555
85,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,834,13,87,0.133379594,0.290347447
86,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,847,13,87,0.133354498,0.290357977
87,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,841,12,88,0.133402173,0.290345197
88,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,838,12,88,0.133180922,0.290430526
89,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,876,15,85,0.151995406,0.313529773
